name;address;phone;site;email
Roberto Coin;Viale Trieste 13 36100 Vicenza VI Italy;+390444202202;robertocoin.com;customercare@robertocoin.com, ROBERTOCOIN@LEGALMAIL.IT
Fraboso;Strada Saviabona 278/7 36100 Vicenza VI Italy;+390444504899;fraboso.it;fraboso@fraboso.com
Fibo International S.R.L.;Contrà S. Marco 41 36100 Vicenza VI Italy;+390444542724;fibointernational.com;info@fibogold.com
Santeligio Srl;Viale Arnaldo Fusinato 172 36100 Vicenza VI Italy;+390444411632;santeligio.com;info@santeligio.com
International Gold And Silver Service S.r.l.;Via degli Avieri 16 36040 Torri di Quartesolo VI Italy;+390444380507;igss.it;igss@igss.it
Gold Equipe 7 Vicenza;Corso SS. Felice e Fortunato 48 36100 Vicenza VI Italy;+390444022278;goldequipe7.it;goldequipe7@libero.it
Ogi 2 S.n.c.;Via Vecchia Ferriera 50 36100 Vicenza VI Italy;+390444565452;belvenchi.it;info@belvenchi.it
New Style Oreficeria S.r.l.;Via Ponti di Debba 5/C 36100 Vicenza VI Italy;+390444531343;newstyleoreficeria.it;info@newstyleoreficeria.it 
Stefani Argento;Via Oreficeria 40 36100 Vicenza VI Italy;+390444288136;stefaniargento.com;info@stefaniargento.com
Sauro Italia Srlu;Via dell'Edilizia 86 36100 Vicenza VI Italy;+3904441930054;sauro.it;contact@saurojewelry.com
Chiaruzzi Argento;Via Divisione Folgore 7 / D 36100 Vicenza VI Italy;+390444924890;chiaruzzishop.com;chiaruzzishop@chiaruzzisrl.com
Ki Anima Gioielli per il Benessere;Via Vecchia Ferriera 50 36100 Vicenza VI Italy;;kianima.it;kianima@kianima.it, abuse@company.site
Arvi (S.r.l.);Viale S. Lazzaro 173 36100 Vicenza VI Italy;+390444962024;arvi.it;info@arvi.it
Divior by La Protofusione Srl;Str. dei Molini 64 36100 Vicenza VI Italy;+390444946011;divior.it;
Voice of Gold - Centro Orafo Vicenza;Via Vecchia Ferriera 70 36100 Vicenza VI Italy;+390444960979;voiceofgold.it;info@voiceofgold.it
Italian Luxury Industries S.r.l.;Via Ludovico Lazzaro Zamenhof 100 36100 Vicenza VI Italy;+390444918511;;
La Protofusione S.r.l.;Str. dei Molini 62 36100 Vicenza VI Italy;+390444301555;protofusione.it;info@protofusione.it, info@protofusione.it 
Tradingold S.r.l.;Viale Verona 98 36100 Vicenza VI Italy;+390444349485;;
Teorema Vicenza S.r.l.;Via S. Leonardo Murialdo 3 36100 Vicenza VI Italy;+390444987219;teoremavicenza.com;
Laza di Zaccaria Ivan & C. (S.N.C.);Via Divisione Folgore 49 36100 Vicenza VI Italy;+390444927570;laza.biz;laza@goldnet.it
Sandona' Aurelio Argenteria;Contrà Porti 38 36100 Vicenza VI Italy;;aureliosandona.com;
OFFICINA CIAROCCHI;Str. Marosticana 512 36100 Vicenza VI Italy;+393498853288;;
Veronese Paolo srl;Via Treviso 12/b 36010 Monticello Conte Otto VI Italy;+390444987013;veronesepaolo.it;
Kimiya Gioielli Srl;Via Vecchia Ferriera 70 36100 Vicenza VI Italy;+390444286030;kimiya.it;info@kimiya.it
Lorenzo Bazzo Gioielli;Corso Andrea Palladio 179 36100 Vicenza VI Italy;+390444544918;lorenzobazzo.com;lorenzobazzo@lorenzobazzo.com
Bassi srl;Via Vecchia Ferriera 50 36100 Vicenza VI Italy;+3904441429724;bassiitalianjewels.it;
Aurifex Italia S.R.L.s.;Via L.L. Zamenhof 641 36100 Vicenza VI Italy;+390444913005;;
Four Line Group S.r.l.;Via Ludovico Lazzaro Zamenhof 28 36100 Vicenza VI Italy;+390444914385;fourline.it;
IMO S.r.l.;Via Giuseppe Barbieri 15 36100 Vicenza VI Italy;+390444500105;imo.it;
Silvex s.p.a.;Via Enrico Fermi 239 36100 Vicenza VI Italy;+390444561014;silvex.it;silvex@silvex.it, findings@silvex.it, vicenza@silvex.it
CHIMENTO;Via Vecchia Ferriera 5 36100 Vicenza VI Italy;+390444418400;chimento.it;info@chimento.it
Aleardi S.r.l.;Viale Jacopo dal Verme 175 36100 Vicenza VI Italy;+390444929128;;
Oro Eclisse Snc Di Tosato Mirco E Massimo;Via Domenico Pittarini 70 36100 Vicenza VI Italy;+390444504177;oroeclisse.com;
La Forgia Preziosi;Str. dei Molini 36100 Vicenza VI Italy;+390444301555;protofusione-errebicast.it;info@errebicast.it
Mata Gold S.r.l.;Via Ludovico Lazzaro Zamenhof 625 36100 Vicenza VI Italy;+390444239427;;
Oro&;Via Nicolò Vicentino 102 36100 Vicenza VI Italy;+390444504687;;
Soprana dal 1910 srl;Piazzetta andrea palladio 2 36100 Vicenza VI Italy;+390444320788;soprana.com;soprana@soprana.com
Gioje - Jewelry Cash&Carry;Via Oreficeria 41 36100 Vicenza VI Italy;+390444348134;gioje.it;gioje@gioje.it
Vicenza compro diamanti;Contrà S.S.Apostoli 36100 Vicenza VI Italy;+393662433511;;
Aurora S.r.l.;Via Vecchia Ferriera 70 36100 Vicenza VI Italy;+390444561625;auroravicenza.it;auroravicenza@legalmail.it
Easygold Di Cristina Pandelea;Viale Jacopo dal Verme 155 36100 Vicenza VI Italy;+390444927338;;
Eurocasting S.N.C. Di Toniolo Alberto & C.;Via Ludovico Lazzaro Zamenhof 92 36100 Vicenza VI Italy;+390444914336;eurocastingfusioni.it;info@orogalvanica.it, info@vimodel.it, info@eurocastingfusioni.it
Kreos Di Novello Sandro;70 Via Vecchia Ferriera Vicenza Vi 36100 Italy;+390444565463;;
Oroforte Srl Unipersonale;Contra' S. Silvestro 46 36100 Vicenza VI Italy;+390444322058;;
Motiv S.r.l.;Corso Andrea Palladio 131 36100 Vicenza VI Italy;+390444544150;;
Pegorotto - Ori di Vicenza;Via Vecchia Ferriera 70 36100 Vicenza VI Italy;+390444571472;pegorotto.it;
Artur Gold S.r.l.;Via Vecchia Ferriera 70 36100 Vicenza VI Italy;+390444963786;arturgold.com;arturgold@arturgold.com, aruturgold@arturgold.com
Preziosi Elementi S.r.l.;Via Ludovico Lazzaro Zamenhof 92 36100 Vicenza VI Italy;+390444239116;;
Preziosi Salvato di Daniela Salvato;Corso Antonio Fogazzaro 178 36100 Vicenza VI Italy;+390444324187;;
Oropiramide Srl;Via Divisione Folgore 37 36100 Vicenza VI Italy;+390444927119;oropiramide.it;info@oropiramide.it
Cellini S.N.C. Di Schiavon Claudio Crivellaro Mau Snc;Via Giuseppe Ferrari 70 36100 Vicenza VI Italy;+390444240062;;
Dami Arts;Via Ludovico Lazzaro Zamenhof 22 36100 Vicenza VI Italy;+390444042096;dami-arts.business.site;
De Paoli (S.R.L.);Str. dei Molini 71 36100 Vicenza VI Italy;+390444512888;depaoligioielli.com;
Grazia Creazione Alta Moda Di Montecchio Graziella;Via Alfonso la Marmora 63 36100 Vicenza VI Italy;+390444927599;;
Oreficeria Rota Pietro E C. (S.N.C.);Via Francesco Cilea 13 36100 Vicenza VI Italy;+390444563096;;
ELIMA GIOIELLI;Via Ludovico Lazzaro Zamenhof 100 36100 Vicenza VI Italy;+390444910602;facebook.com;
Compro Oro Vicenza, Oro Migliore;Viale Riviera Berica 802 36100 Vicenza VI Italy;+390444533243;comprooromigliore.it;
ARTSILVER di Capolupi Pietro;Strada Casale 386 36100 Vicenza VI Italy;+390444300302;;
New Goi S.r.l.;Via Vecchia Ferriera 70 36100 Vicenza VI Italy;+390444962015;kgweb.com;info@kgweb.com, info@newgoi.com
Fulkro (S.N.C.);Contrà Busa S. Michele 10 36100 Vicenza VI Italy;+390444322372;;
Goldie S.r.l.;Contrà Santa Caterina 68 36100 Vicenza VI Italy;+390444235509;goldiee.it;aricco@infinito.it
Oro Gio' Di Marangon Livio;70 Via Vecchia Ferriera Vicenza Vi 36100 Italy;+390444239006;;
CAORO - The Fashion Expression;Via Ludovico Lazzaro Zamenhof 551 36100 Vicenza VI Italy;+390444505408;caoro.it;
Cf Design By Carlan Flavio;Str. dei Molini 82 36100 Vicenza VI Italy;+390444515896;;
Laboratorio Orafo Ischia Marco;Contrà XX Settembre 20/22 36100 Vicenza VI Italy;+390444300517;;
Topazio Srl;Via Savona 116 36040 Torri di Quartesolo VI Italy;+390444267030;topaziojewels.com;info@topazio.vi, info@topazio.vi.it
La Sorgente S.r.l;Via Vecchia Ferriera 70 36100 Vicenza VI Italy;+390444291137;lasorgentegioielli.it;info@lasorgentesrl.net
venerio argento srl;Viale Quintino Sella 74 36100 Vicenza VI Italy;+390444965917;venerioargento.it;info@venerioargento.it
Andriolo Sergio Creazioni Orafe Italiane S.r.l.;Via Giorgio Corbetta 20 36100 Vicenza VI Italy;+390444511066;;
Dblux S.r.l.;Via Vecchia Ferriera 50 36100 Vicenza VI Italy;+390444566944;dblux.com;info@dblux.com,  info@dblux.com
Fope;Via Giuseppe Zampieri 31 36100 Vicenza VI Italy;+390444286911;fope.com;
Allegro Silvano Snc;Str. di Bertesina 382 36100 Vicenza VI Italy;+390444511977;allegrosilvano.it;info@spherica.it
Campagnaro Davide;Via Vicenza 16 36040 Torri di Quartesolo VI Italy;+390444582733;;
Kultho Srl;Str. dei Molini 131 36100 Vicenza VI Italy;+390444303889;;
Scintilla Di Vedovato Roberto;Via S. Leonardo Murialdo 3 36100 Vicenza VI Italy;+390444501723;;
La Prima Gioielli;Via della Robbia Luca 42 36100 Vicenza VI Italy;+390444910527;laprimagioielli.it;info@laprimagioielli.it
Tecnomodel snc di Toniato Andrea C.;Via Ludovico Lazzaro Zamenhof 22 36100 Vicenza VI Italy;+390444918000;tecnomodel-italia.it;progettazione@tecnomodel-italia.it
Gold-Art Snc Di Tavanti Domenico E C.;70 Via Vecchia Ferriera Vicenza Vi 36100 Italy;+390444964236;goldart-348ar.it;goldartmilano@gmail.com, goldart@tari.it
Goldie Srl - Produzione;Via Ponti di Debba 5 36100 Vicenza VI Italy;+390444248019;goldiee.it;aricco@infinito.it
Marotto Riccardo s.r.l;Strada Settecà 217 36100 Vicenza VI Italy;+390444911027;marottojewels.com;info@marottojewels.com
Darwil S.r.l.;Contrà Pedemuro S. Biagio 36100 Vicenza VI Italy;+390444546406;;
Frattina Gianni Srl;Viale Quintino Sella 85 36100 Vicenza VI Italy;+390444963035;;
Carbone Giuseppe;Via Giovanni Pascoli 17 36100 Vicenza VI Italy;+390444923476;;
Lacea Astucci Per Gioielli Packaging;Viale della Scienza 9 36100 Vicenza VI Italy;+390444346073;lacea.it;
Golay Srl - Mikiko, Nihama;Viale del Lavoro 36 36100 Vicenza VI Italy;+390444963855;mikiko.it;
Linea Italia Silver & Gold S.r.l.;Strada St. Pasubio 159 36030 Costabissara VI Italy;+390444557222;shop.lineaitalia.com;
Casting Service;Via Ludovico Lazzaro Zamenhof 28 36100 Vicenza VI Italy;+390444239454;;
Gold Planet S.r.l.;Via Ludovico Lazzaro Zamenhof 92 36100 Vicenza VI Italy;+390444914439;goldplanet.it;
DaveriVicenza S.r.l.;Via Istrana 10 36030 Caldogno VI Italy;+390444985285;dvitaly.it;arezzo@daverivicenza.itfilialevicenza, vicenza@daverivicenza.itshowroommilano, milano@daverivicenza.itfiliale, arezzo@daverivicenza.it, vicenza@daverivicenza.it, milano@daverivicenza.it
Oreficeria Romio S.N.C.;Borgo Casale 60 36100 Vicenza VI Italy;+390444302405;romio.it;oreficeriaromio@libero.it, oreficeriaromio@libero.ittele
Lovato Ruggero Di Lovato Diego Ec. Snc;Via Cormons 23 36100 Vicenza VI Italy;+390444923358;;
Euro Meccanica Preziosi S.r.l.;Via Ludovico Lazzaro Zamenhof 431 36100 Vicenza VI Italy;+390444914590;euromep.com;590info@euromep.comexport2
T.C.A. Spa - Filiale Di Vicenza;Via Vicenza 200 36077 Altavilla Vicentina VI Italy;+390444520469;;
Frigo Giuseppe & Dalle Molle Paola (S.N.C.);Contrà Giovanni Busato 32 36100 Vicenza VI Italy;+390444324485;;
Oreficeria Orologeria Ischia Italo;Corso Andrea Palladio 200 36100 Vicenza VI Italy;+390444545316;;
Nova Rank s.r.l. since 1976;Via Vecchia Ferriera 70 36100 Vicenza VI Italy;+390444042560;novarank.it;info@novarank.it
Mario Di Maio S.p.a.;Via della Meccanica 9 36100 Vicenza VI Italy;+390444566223;mariodimaio.com;econtacts@mariodimaio.com
Gold Line Di Casarotto Luciano;Via Antonio Meucci 24 36057 Arcugnano VI Italy;;;
Pomi Jewels;Via Ludovico Lazzaro Zamenhof 404 36100 Vicenza VI Italy;+390444914314;pomidoro.it;
ZALI;Via Goffredo Mameli 1 6100 Vicenza VI Italy;+390444961160;zali.it;
Fi.Be. S.N.C. Di Bellinaso Fabio E Ivan;Str. dei Molini 72 36100 Vicenza VI Italy;+390444302111;;
Gold Equipe 7;Viale Margherita 3 36100 Vicenza VI Italy;+390444512632;goldequipe7.it;goldequipe7@libero.it
Swarovski;Str. Padana verso Padova 162 36100 Vicenza VI Italy;;swarovski.com;
Plating Gold;Via Ludovico Lazzaro Zamenhof 585 36100 Vicenza VI Italy;+390444913395;plating-gold.com;info@plating-gold.com
Andrea Dezulian Gems;Via Vecchia Ferriera 70 36100 Vicenza VI Italy;+393401502903;andreadezulian.com;
Lunablu Gioielli S.r.l.;Viale Divisione Julia 22 36100 Vicenza VI Italy;+390444929296;;
Adami Alberto Laboratorio Orafo;Via Giambattista Nievo 11 36100 Vicenza VI Italy;+390444317946;adamilaboratorioorafo.myadj.it;
Campanella S.r.l.;Via Brennero 16 36100 Vicenza VI Italy;+390444980405;;
Fair Line S.r.l.;Via Piazzon 48c 36051 Creazzo VI Italy;+390444340221;fairline.it;
Marco Dal Maso;;+390444340888;marcodalmaso.com;info@marcodalmaso.com
Huranus;Via Vecchia Ferriera 70 36100 Vicenza VI Italy;+390444963144;huranus.com;
Daniela Vettori Arte Orafa;Piazza dei Signori 35 36100 Vicenza VI Italy;+390444323855;danielavettori.com;
Il Sogno Snc;Via Giovanni Durando 93 36100 Vicenza VI Italy;+390444922199;;
RGS;36100 Vicenza Province of Vicenza Italy;+390444239294;rgs-vicenza.com;info@rgs-vicenza.com
F.o.b. (S.n.c.);Viale G. Trissino 71 36100 Vicenza VI Italy;+390444510810;;
DML s.r.l.;Via Palazzon 41 36051 Creazzo VI Italy;+390444340888;dmljewels.com;info@dmljewels.com, info@dmljewels.it
Pi.Erre.Srl;;+390444965502;;
Novello Giuseppe S.N.C.;Str. della Carpaneda 23 36100 Vicenza VI Italy;+390444569134;;
Floren di Floriano Pigato;Via A. Volta 21 36030 Costabissara VI Italy;+390444971789;;
Gio.Ve. S.N.C. Di Baghin Fabio E Traforetti Diego;Via Divisione Folgore 59 36100 Vicenza VI Italy;+390444927360;;
Merlo Antonio;Strada Saviabona 201 36100 Vicenza VI Italy;+390444504869;;
Ronco S.p.A.;Via Trento 31 36010 Monticello Conte Otto VI Italy;+390444596838;ronco.it;
Creativity Factory S.r.l.;Via Istrana 39 36030 Caldogno-rettorgole-cresole VI Italy;+390444987127;creativityfactory.it;
Trevi Group S.R.L.;Via Vecchia Ferriera 70 36100 Vicenza VI Italy;+390444963034;trevigroup.com;
Mia Gioielli S.r.l.;Via dell'Edilizia 106 36100 Vicenza VI Italy;+390444955006;business.site;
Fab Gobbetti;Via Linate 13 36030 Caldogno VI Italy;+390444986450;alicejewellery.it;info@alicegioielli.it
Fradellin Antonio;Via Galileo Galilei 1 36057 Nogarazza VI Italy;+390444965557;;
Stroili;Centro Commerciale Palladio a Str. Padana verso Padova 60 36100 Vicenza VI Italy;+390444381511;stroilioro.com;
Misis S.r.l.;Via dell'Edilizia 58 36100 Vicenza VI Italy;+390444961334;misis.it;
Fair Line S.r.l.;Via Piazzon 48c 36051 Creazzo VI Italy;+390444340221;fairline.it;
Lazzari Gioielli Srl;Via Brescia 37 36040 Torri di Quartesolo VI Italy;+390444267414;lazzariargento.it;lazzari@lazzariargento.it
Gold Service S.r.l.;Via dell'Industria 10 36040 Torri di Quartesolo VI Italy;+390444583916;;
Re Sole;Via Vecchia Ferriera 70 36100 Vicenza VI Italy;+390444545454;resole.biz;info@resole.bizp, info@resole.biz
Mingardi Danilo Srl;Via Elmas 9/2 36030 Rettorgole VI Italy;+390444986166;danilomingardi.it;info@danilomingardi.it
Due Emme Di Fuser Maurizio;Via Ludovico Lazzaro Zamenhof 28 36100 Vicenza VI Italy;;;
Quadri Gioielli Srl;Viale dell'Industria 2 36010 Vicenza VI Italy;;quadrigioielli.com;info@quadrigioielli.com, info@quadrisrl.it, info@agrizoosrl.com
Muraro Lorenzo Spa - Comets jewelry, Ambrosia, Barakà;Via Pasubio 53 36051 Creazzo VI Italy;+390444341341;comete.it;comete@comete.it
